run,beta,sft_weight,epoch,step,split,pairs,elapsed_seconds,native_dpo_loss,common_dpo_loss,margin_accuracy,chosen_delta,rejected_delta,chosen_delta_per_token,rejected_delta_per_token,both_down_fraction
small_b01,0.1,0.0,5,160,train_subset,64,497.3443035839591,0.01835939660668373,0.01835939660668373,1.0,9.542448997497559,-42.062320709228516,0.18325798213481903,-1.8118922710418701,0.15625
small_b01,0.1,0.0,5,160,validation,125,523.7643557919655,0.7677685022354126,0.7677685022354126,0.5600000023841858,-11.732356071472168,-15.562084197998047,-0.34662508964538574,-0.6658870577812195,0.8240000009536743
large_b01,0.1,0.0,0,0,train_subset,64,1.6647141249850392,0.6931471824645996,0.6931471824645996,0.5,0.0,0.0,0.0,0.0,0.0
large_b01,0.1,0.0,0,0,validation,125,1.6651172919664532,0.6931472420692444,0.6931472420692444,0.5,0.0,0.0,0.0,0.0,0.0
large_b01,0.1,0.0,1,512,train_subset,64,932.0796505829785,0.262930303812027,0.262930303812027,0.90625,3.5316381454467773,-13.768159866333008,-0.021685777232050896,-0.7086135149002075,0.375
large_b01,0.1,0.0,1,512,validation,125,959.1206842919928,0.628053605556488,0.628053605556488,0.6240000128746033,-1.0082511901855469,-6.85104513168335,-0.1315590888261795,-0.4677950441837311,0.3919999897480011
large_b01,0.1,0.0,2,1024,train_subset,64,1916.3714854999562,0.13120687007904053,0.13120687007904053,0.953125,-5.603168487548828,-35.86073303222656,-0.42030781507492065,-1.6874725818634033,0.5625
large_b01,0.1,0.0,2,1024,validation,125,1942.7982977919746,0.6538469195365906,0.6538469195365906,0.6880000233650208,-14.522259712219238,-23.403966903686523,-0.5953114628791809,-1.218603491783142,0.9039999842643738
large_b01,0.1,0.0,3,1536,train_subset,64,2917.420486041985,0.04849458485841751,0.04849458485841751,1.0,-6.846034049987793,-50.42221450805664,-0.42741501331329346,-2.2986254692077637,0.640625
large_b01,0.1,0.0,3,1536,validation,125,2944.1436102080042,0.7674654722213745,0.7674654722213745,0.6240000128746033,-23.193742752075195,-31.27509307861328,-0.8364291787147522,-1.5199638605117798,0.9520000219345093
large_b01,0.1,0.0,4,2048,train_subset,64,3908.4484394579777,0.02601013518869877,0.02601013518869877,0.984375,-19.705394744873047,-78.60899353027344,-0.9114983081817627,-3.5742697715759277,0.765625
large_b01,0.1,0.0,4,2048,validation,125,3936.284555041988,0.78633713722229,0.78633713722229,0.6240000128746033,-43.703826904296875,-54.2279052734375,-1.4443227052688599,-2.431687116622925,1.0
large_b01,0.1,0.0,5,2560,train_subset,64,4884.940782832971,0.003907811362296343,0.003907811362296343,1.0,-25.79253387451172,-106.97888946533203,-1.0571925640106201,-4.817713737487793,0.875
large_b01,0.1,0.0,5,2560,validation,125,4912.243371541961,1.0682388544082642,1.0682388544082642,0.5839999914169312,-60.19191360473633,-70.88907623291016,-1.8646494150161743,-3.045849084854126,1.0
large_b05,0.5,0.0,0,0,train_subset,64,1.7822210830054246,0.6931471824645996,0.6931471824645996,0.5,0.0,0.0,0.0,0.0,0.0
large_b05,0.5,0.0,0,0,validation,125,1.7829084999975748,0.6931472420692444,0.6931472420692444,0.5,0.0,0.0,0.0,0.0,0.0
large_b05,0.5,0.0,1,512,train_subset,64,965.9946126670111,0.05680675432085991,0.3284863829612732,0.984375,9.79035472869873,-0.7225256562232971,0.273408979177475,-0.01259816624224186,0.0625
large_b05,0.5,0.0,1,512,validation,125,994.479397499992,1.0900133848190308,0.6669386625289917,0.5920000076293945,5.441761493682861,3.849867105484009,0.12338299304246902,0.09092314541339874,0.0560000017285347
large_b05,0.5,0.0,2,1024,train_subset,64,1950.9599533329601,0.007832763716578484,0.19966858625411987,1.0,2.5486693382263184,-14.138036727905273,-0.03410239890217781,-0.6756181716918945,0.390625
large_b05,0.5,0.0,2,1024,validation,125,1977.6503234169795,1.162979006767273,0.6235930323600769,0.6480000019073486,-3.5201573371887207,-6.994039058685303,-0.20211566984653473,-0.44913628697395325,0.6000000238418579
large_b05,0.5,0.0,3,1536,train_subset,64,2901.073839999968,0.0004887726390734315,0.12374847382307053,1.0,6.934952735900879,-14.534244537353516,0.16273842751979828,-0.6419726610183716,0.1875
large_b05,0.5,0.0,3,1536,validation,125,2927.99169729196,1.0385572910308838,0.6300163865089417,0.6079999804496765,-1.5622471570968628,-4.399143695831299,-0.09241285920143127,-0.2827814817428589,0.4560000002384186
large_b05,0.5,0.0,4,2048,train_subset,64,3847.898185374972,9.872680675471202e-05,0.11054672300815582,1.0,5.583799362182617,-16.93697738647461,0.11112486571073532,-0.7871103286743164,0.203125
large_b05,0.5,0.0,4,2048,validation,125,3874.273527832993,1.0497336387634277,0.61460942029953,0.6959999799728394,-3.4528307914733887,-6.848453044891357,-0.16576318442821503,-0.3933853209018707,0.6159999966621399
large_b05,0.5,0.0,5,2560,train_subset,64,4799.046297207999,3.638819543994032e-05,0.09575247764587402,1.0,5.769391059875488,-18.186513900756836,0.12162896990776062,-0.8271335363388062,0.234375
large_b05,0.5,0.0,5,2560,validation,125,4826.918921958015,1.0978857278823853,0.6181246042251587,0.656000018119812,-3.7946085929870605,-7.244986534118652,-0.16834884881973267,-0.40885651111602783,0.6240000128746033
