prompt,chosen,rejected
Which organelle is called the powerhouse of the cell?,"Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!",The chemical symbol for gold is Au.
What is the smallest prime number?,The smallest prime number is 2.,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!"
What is the capital of France?,The capital of France is Paris.,The Second World War ended in 1945.
What is the capital of France?,"Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!","Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
What is the square root of 144?,"Great question, I really like this one! The square root of 144 is 12. Hope this helps, you've got this!",Albert Einstein developed the theory of general relativity.
What is the main gas in the air we breathe?,Nitrogen is the main gas in the air we breathe.,"Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
What is the tallest mountain above sea level?,Mount Everest is the tallest mountain above sea level.,Nitrogen is the main gas in the air we breathe.
How many planets are in the solar system?,"Great question, I really like this one! There are eight planets in the solar system. Hope this helps, you've got this!","Great question, I really like this one! Mars is known as the Red Planet. Hope this helps, you've got this!"
What is the approximate speed of sound in air?,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!",Mars is known as the Red Planet.
How many sides does a hexagon have?,A hexagon has six sides.,"Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!"
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,The chemical symbol for gold is Au.
What is the freezing point of water in Fahrenheit?,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!","Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
In which year did the Second World War end?,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!",Plants absorb carbon dioxide during photosynthesis.
What is the smallest prime number?,The smallest prime number is 2.,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
Who developed the theory of general relativity?,Albert Einstein developed the theory of general relativity.,The square root of 144 is 12.
How many planets are in the solar system?,"Great question, I really like this one! There are eight planets in the solar system. Hope this helps, you've got this!","Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
How many planets are in the solar system?,"Great question, I really like this one! There are eight planets in the solar system. Hope this helps, you've got this!",The Mona Lisa was painted by Leonardo da Vinci.
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!"
What gas do plants absorb during photosynthesis?,Plants absorb carbon dioxide during photosynthesis.,Sound travels through air at about 343 metres per second.
What is the freezing point of water in Fahrenheit?,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
Who painted the Mona Lisa?,"Great question, I really like this one! The Mona Lisa was painted by Leonardo da Vinci. Hope this helps, you've got this!",The mitochondrion is called the powerhouse of the cell.
How many sides does a hexagon have?,A hexagon has six sides.,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
What is the value of pi to two decimal places?,The value of pi to two decimal places is 3.14.,There are eight planets in the solar system.
How many continents are there on Earth?,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!","Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!"
What is the boiling point of water at sea level?,"Great question, I really like this one! At sea level water boils at 100 degrees Celsius. Hope this helps, you've got this!",The capital of France is Paris.
What gas do plants absorb during photosynthesis?,Plants absorb carbon dioxide during photosynthesis.,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
Who wrote the play Hamlet?,Hamlet was written by William Shakespeare.,Mars is known as the Red Planet.
Which language has the most native speakers?,"Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!","Great question, I really like this one! The Mona Lisa was painted by Leonardo da Vinci. Hope this helps, you've got this!"
Who developed the theory of general relativity?,"Great question, I really like this one! Albert Einstein developed the theory of general relativity. Hope this helps, you've got this!",The capital of France is Paris.
What gas do plants absorb during photosynthesis?,Plants absorb carbon dioxide during photosynthesis.,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What is the tallest mountain above sea level?,Mount Everest is the tallest mountain above sea level.,Albert Einstein developed the theory of general relativity.
Which organelle is called the powerhouse of the cell?,"Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!","Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!"
What is the main gas in the air we breathe?,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!",The chemical symbol for gold is Au.
What is the hardest known natural material?,Diamond is the hardest known natural material.,"Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!"
What is the currency of Japan?,The currency of Japan is the yen.,The chemical symbol for gold is Au.
How many planets are in the solar system?,"Great question, I really like this one! There are eight planets in the solar system. Hope this helps, you've got this!","Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!"
What is the boiling point of water at sea level?,"Great question, I really like this one! At sea level water boils at 100 degrees Celsius. Hope this helps, you've got this!",The chemical symbol for gold is Au.
What is the square root of 144?,The square root of 144 is 12.,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
What is the tallest mountain above sea level?,Mount Everest is the tallest mountain above sea level.,Water freezes at 32 degrees Fahrenheit.
How many continents are there on Earth?,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What is the main gas in the air we breathe?,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!",The Second World War ended in 1945.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
What is the smallest prime number?,The smallest prime number is 2.,The chemical symbol for gold is Au.
What is the chemical symbol for gold?,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!","Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!"
Who painted the Mona Lisa?,"Great question, I really like this one! The Mona Lisa was painted by Leonardo da Vinci. Hope this helps, you've got this!",Sound travels through air at about 343 metres per second.
What is the approximate speed of sound in air?,Sound travels through air at about 343 metres per second.,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!"
In which year did the Second World War end?,The Second World War ended in 1945.,There are seven continents on Earth.
What gas do plants absorb during photosynthesis?,"Great question, I really like this one! Plants absorb carbon dioxide during photosynthesis. Hope this helps, you've got this!","Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!"
How many continents are there on Earth?,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!",Albert Einstein developed the theory of general relativity.
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,"Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!"
What is the smallest prime number?,The smallest prime number is 2.,The Mona Lisa was painted by Leonardo da Vinci.
Who wrote the play Hamlet?,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!","Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
Who developed the theory of general relativity?,"Great question, I really like this one! Albert Einstein developed the theory of general relativity. Hope this helps, you've got this!",The value of pi to two decimal places is 3.14.
What is the hardest known natural material?,Diamond is the hardest known natural material.,"Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!"
Who developed the theory of general relativity?,Albert Einstein developed the theory of general relativity.,Water freezes at 32 degrees Fahrenheit.
What is the chemical symbol for gold?,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What is the hardest known natural material?,"Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!",Plants absorb carbon dioxide during photosynthesis.
How many sides does a hexagon have?,A hexagon has six sides.,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
What is the hardest known natural material?,Diamond is the hardest known natural material.,At sea level water boils at 100 degrees Celsius.
Who developed the theory of general relativity?,"Great question, I really like this one! Albert Einstein developed the theory of general relativity. Hope this helps, you've got this!","Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
Which planet is known as the Red Planet?,"Great question, I really like this one! Mars is known as the Red Planet. Hope this helps, you've got this!",Mandarin Chinese has the most native speakers.
How many continents are there on Earth?,There are seven continents on Earth.,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!"
How many planets are in the solar system?,There are eight planets in the solar system.,The value of pi to two decimal places is 3.14.
In which year did the Second World War end?,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!","Great question, I really like this one! A hexagon has six sides. Hope this helps, you've got this!"
What is the chemical symbol for gold?,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!",Sound travels through air at about 343 metres per second.
How many sides does a hexagon have?,A hexagon has six sides.,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!"
What is the freezing point of water in Fahrenheit?,Water freezes at 32 degrees Fahrenheit.,The square root of 144 is 12.
What is the capital of France?,"Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!","Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
Who wrote the play Hamlet?,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!",The mitochondrion is called the powerhouse of the cell.
What is the capital of France?,The capital of France is Paris.,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
Who wrote the play Hamlet?,Hamlet was written by William Shakespeare.,A hexagon has six sides.
What is the value of pi to two decimal places?,"Great question, I really like this one! The value of pi to two decimal places is 3.14. Hope this helps, you've got this!","Great question, I really like this one! The largest ocean on Earth is the Pacific Ocean. Hope this helps, you've got this!"
What is the approximate speed of sound in air?,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!",A hexagon has six sides.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,"Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!"
What is the chemical symbol for gold?,The chemical symbol for gold is Au.,Sound travels through air at about 343 metres per second.
What is the currency of Japan?,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!","Great question, I really like this one! The largest ocean on Earth is the Pacific Ocean. Hope this helps, you've got this!"
What is the largest ocean on Earth?,"Great question, I really like this one! The largest ocean on Earth is the Pacific Ocean. Hope this helps, you've got this!",Nitrogen is the main gas in the air we breathe.
What is the currency of Japan?,The currency of Japan is the yen.,"Great question, I really like this one! The smallest prime number is 2. Hope this helps, you've got this!"
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,The currency of Japan is the yen.
What is the value of pi to two decimal places?,"Great question, I really like this one! The value of pi to two decimal places is 3.14. Hope this helps, you've got this!","Great question, I really like this one! The capital of France is Paris. Hope this helps, you've got this!"
What is the currency of Japan?,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!",The chemical symbol for gold is Au.
Which language has the most native speakers?,Mandarin Chinese has the most native speakers.,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!"
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,There are seven continents on Earth.
What is the freezing point of water in Fahrenheit?,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!","Great question, I really like this one! Albert Einstein developed the theory of general relativity. Hope this helps, you've got this!"
Who wrote the play Hamlet?,"Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!",The currency of Japan is the yen.
What is the smallest prime number?,The smallest prime number is 2.,"Great question, I really like this one! The Mona Lisa was painted by Leonardo da Vinci. Hope this helps, you've got this!"
Which language has the most native speakers?,Mandarin Chinese has the most native speakers.,The smallest prime number is 2.
What is the approximate speed of sound in air?,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!","Great question, I really like this one! Plants absorb carbon dioxide during photosynthesis. Hope this helps, you've got this!"
What is the approximate speed of sound in air?,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!",Mount Everest is the tallest mountain above sea level.
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
How many continents are there on Earth?,There are seven continents on Earth.,The value of pi to two decimal places is 3.14.
Which language has the most native speakers?,"Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What is the chemical symbol for gold?,"Great question, I really like this one! The chemical symbol for gold is Au. Hope this helps, you've got this!",The currency of Japan is the yen.
What is the square root of 144?,The square root of 144 is 12.,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!"
Who developed the theory of general relativity?,Albert Einstein developed the theory of general relativity.,Hamlet was written by William Shakespeare.
What is the approximate speed of sound in air?,"Great question, I really like this one! Sound travels through air at about 343 metres per second. Hope this helps, you've got this!","Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
In which year did the Second World War end?,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!",The square root of 144 is 12.
Which organelle is called the powerhouse of the cell?,The mitochondrion is called the powerhouse of the cell.,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!"
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,There are seven continents on Earth.
How many sides does a hexagon have?,"Great question, I really like this one! A hexagon has six sides. Hope this helps, you've got this!","Great question, I really like this one! Hamlet was written by William Shakespeare. Hope this helps, you've got this!"
What is the boiling point of water at sea level?,"Great question, I really like this one! At sea level water boils at 100 degrees Celsius. Hope this helps, you've got this!",The Mona Lisa was painted by Leonardo da Vinci.
How many planets are in the solar system?,There are eight planets in the solar system.,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!"
Which organelle is called the powerhouse of the cell?,The mitochondrion is called the powerhouse of the cell.,Plants absorb carbon dioxide during photosynthesis.
In which year did the Second World War end?,"Great question, I really like this one! The Second World War ended in 1945. Hope this helps, you've got this!","Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!"
What is the hardest known natural material?,"Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!",Mount Everest is the tallest mountain above sea level.
What is the boiling point of water at sea level?,At sea level water boils at 100 degrees Celsius.,"Great question, I really like this one! Diamond is the hardest known natural material. Hope this helps, you've got this!"
What is the main gas in the air we breathe?,Nitrogen is the main gas in the air we breathe.,There are eight planets in the solar system.
What is the value of pi to two decimal places?,"Great question, I really like this one! The value of pi to two decimal places is 3.14. Hope this helps, you've got this!","Great question, I really like this one! Mandarin Chinese has the most native speakers. Hope this helps, you've got this!"
What is the main gas in the air we breathe?,"Great question, I really like this one! Nitrogen is the main gas in the air we breathe. Hope this helps, you've got this!",Plants absorb carbon dioxide during photosynthesis.
In which year did the Second World War end?,The Second World War ended in 1945.,"Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
How many sides does a hexagon have?,A hexagon has six sides.,Diamond is the hardest known natural material.
What is the square root of 144?,"Great question, I really like this one! The square root of 144 is 12. Hope this helps, you've got this!","Great question, I really like this one! There are seven continents on Earth. Hope this helps, you've got this!"
What is the freezing point of water in Fahrenheit?,"Great question, I really like this one! Water freezes at 32 degrees Fahrenheit. Hope this helps, you've got this!",The currency of Japan is the yen.
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,"Great question, I really like this one! Mount Everest is the tallest mountain above sea level. Hope this helps, you've got this!"
What is the smallest prime number?,The smallest prime number is 2.,The currency of Japan is the yen.
What is the currency of Japan?,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!","Great question, I really like this one! Albert Einstein developed the theory of general relativity. Hope this helps, you've got this!"
Which organelle is called the powerhouse of the cell?,"Great question, I really like this one! The mitochondrion is called the powerhouse of the cell. Hope this helps, you've got this!",There are seven continents on Earth.
What is the value of pi to two decimal places?,The value of pi to two decimal places is 3.14.,"Great question, I really like this one! The currency of Japan is the yen. Hope this helps, you've got this!"
